pen,time period,Species,Study,Diet,average feed intake g/d,"average feed intake, g","ME, kcal/kg",Overall,NDF,ADF,NFC,Crude fiber,Starch,CP,Arginine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Valine,Alanine,Aspartic acid,Cystine,Met + Cys,Glutamic acid,Glycine,Proline,Serine,Tyrosine,Phe + Tyr,Ether extract,SFA,MUFA,PUFA,n-3 PUFA,n-6 PUFA,n-3/n-6 ratio,C14,C15:0,C15:1,C16:0,C16:1,C17:0,C17:1,C18:0,C18:1,C18:2 cis n-6 LA,C18:3 cis n-3 ALA,C20:0,C20:1,C20:4n-6 ARA,C20:5n-3 EPA,C22:0,C22:1,C22:6n-3 DHA,C24:0,Ash,Vitamin A IU/kg,beta-carotene,Vitamin D3 IU/kg,Vitamin D3 25-Hydroxyvitamin D,Vitamin E IU/kg,Vitamin K ppm,AST ppm,Thiamin ppm,Riboflavin ppm,Niacin ppm,Pantothenic acid ppm,Pyridoxine ppm,Biotin ppm,Folic acid ppm,Vitamin B12 ppm,Choline ppm,Calcium,Total Phosphorus,Inorganic available P,Ca:P ratio,Na,Cl,K,Mg,S,Cu ppm,I ppm,Fe,Mn,Se,Zn,"average feed intake, g/d",bodyweightgain,akp,alt,gluclose,nefa,pip,tc,tg,trap,uric acid,BCA,breast mTOR,breast S6K1,breast 4E-BP1,breast MURF1,breast MAFbx,breast AMPK,breast LAT1,breast CAT1,breast SNAT2,breast VDAC1,breast ANTKMT,breast AKT1,IGF1,IGFR,IRS1,FOXO1,LC3-1,MyoD,MyoG,Pax3,Pax7,Mrf4,Mrf5,liver mTOR,liver S6K1,liver 4E-BP1,liver MURF1,liver MAFbx,liver AMPK,breast weight (g),breast PH,breast WHC,breast HARDNESS,breast SPRINGINESS,breast CHEWINESS,breast COHESIVENESS,breast GUMMINESS,breast RESILIENCE,Thigh Weight (g),thigh PH,thigh WHC,thigh HARDNESS,thigh SPRINGINESS,thigh CHEWINESS,liver weight(g)
6,1-3 weeks,B,broiler AST,starter 0.32% P-7,60.25,1626.75405,4717.873054,,138.5459249,50.18845328,828.4101845,39.14902374,531.5611954,374.2284249,24.2110521,9.324549009,14.63042077,29.04962608,20.2228817,10.88893998,16.9379465,13.79244576,4.259241959,15.97282602,19.05970115,39.02882289,5.579605994,13.34195348,65.93284594,16.20870081,22.29716946,18.8495408,12.63051863,33.04741092,68.68757498,6.52882696,10.63447321,19.97454577,0.377146659,16.19216322,359.8258494,0.126624372,0,0,4.700329185,0.062111477,0,0,1.295308538,8.792069104,27.885883,1.560055722,0.238919288,0.078159318,0,0,0.100352372,0,0,0.065372088,5359.082564,19.5210486,0.80117637,13.59035394,0,8.459234933,0.003253508,0.130140324,5.024457629,3.03147244,34.49076472,14.83062865,8.372707885,0.220187668,1.020965483,0,2304.242941,16.31411447,12.40674885,7.338783842,0,3.180385505,5.075004131,17.10673411,3.128126032,3.649704049,10.32240515,0,418.1373554,32.59754836,0.654317894,42.3471734,60.25,38.92,,,15.54649,427.4179,,80.41088,21.56122,,203.3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3-6 weeks,B,broiler AST,grower control,104.55,2822.7771,8469.522512,,239.5307027,79.68812664,1565.108805,65.36400071,1072.954908,564.6858323,35.81549662,14.16015674,21.89841711,45.56457298,29.65683465,15.14744279,25.61378146,21.13338722,6.260811778,24.2186171,29.9770742,57.95336398,8.723327434,20.71201406,100.6642962,24.5597133,35.01649347,28.5501886,18.91248378,49.85854255,124.5155207,11.6379783,19.96941463,37.51533599,0.764309241,32.81434343,729.2076319,0.185701839,0,0,8.524734101,0.117856578,0,0,2.143447498,16.82489459,51.81613847,2.43764666,0.46630201,0.152228262,0,0,0.17192291,0,0,0.132480269,8342.012025,33.8733252,1.543550974,19.84190149,0,16.22221772,0.005645554,0,8.901091257,4.902232306,61.08884833,24.04921406,14.40525255,0.342120585,1.520505822,0,3576.205383,25.43212079,19.51323708,11.25755094,0,5.438032096,8.819614619,25.89895166,4.764353759,5.727471191,15.14673964,0,674.3217751,50.07239614,0.945638797,67.05224723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3-6 weeks,B,broiler AST,grower control,96.82,2614.06305,0,,221.8199798,73.79604553,1449.385818,60.53103486,993.6214157,522.9333797,33.1673253,13.11316523,20.27926436,42.19556217,27.46403024,14.02745208,23.71991741,19.5708002,5.797891988,22.42791047,27.76059151,53.66833514,8.078331058,19.18058307,93.22125261,22.74378627,32.42739985,26.43920878,17.51410872,46.17203881,115.3089352,10.77747479,18.49289089,34.7414798,0.707796782,30.38807516,675.2905592,0.171971183,0,0,7.89442157,0.10914235,0,0,1.984962576,15.58087433,47.98489153,2.257408869,0.431823984,0.140972617,0,0,0.159211058,0,0,0.122684776,7725.209829,31.3687566,1.429421957,18.37480597,0,15.02275894,0.005228126,0,8.242951156,4.539764877,56.57198409,22.27103297,13.34013884,0.316824442,1.408080746,0,3311.783403,23.5516886,18.07044277,10.42517596,0,5.035948027,8.16749884,23.98400234,4.412080967,5.30398621,14.02680092,0,624.462922,46.37008023,0.875718964,62.09445369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3-6 weeks,B,broiler AST,grower control,114.77,3098.8872,0,,262.9604118,87.48282521,1718.20001,71.75758409,1177.906052,619.9206086,39.31879142,15.54523327,24.04041201,50.02147424,32.55771959,16.62909076,28.11919492,23.20055067,6.873213432,26.58756249,32.90928339,63.62207553,9.576600195,22.73796087,110.5107799,26.96202303,38.44163374,31.3428269,20.76240944,54.73545868,136.6950133,12.77634779,21.92272404,41.18490068,0.839070193,36.02408027,800.5351172,0.203866275,0,0,9.358581444,0.129384726,0,0,2.353108935,18.47062259,56.88453695,2.676085204,0.511913367,0.167118478,0,0,0.188739559,0,0,0.145438833,9157.986398,37.1866464,1.694533499,21.78273819,0,17.80899485,0.006197774,0,9.771751997,5.381744434,67.06425745,26.40158928,15.81430314,0.375585129,1.669234184,0,3926.012112,27.91976511,21.42192546,12.35870892,0,5.96995351,9.682305716,28.43225907,5.230379288,6.287704107,16.62831883,0,740.2805972,54.97023037,1.038136509,73.61096655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3-6 weeks,B,broiler AST,grower control,113.1,3053.5974,0,,259.1172824,86.20427604,1693.088759,70.70885711,1160.691121,610.8605562,38.74415282,15.31804187,23.68906477,49.29041744,32.08189311,16.38605894,27.70823685,22.86147789,6.772762386,26.198989,32.42831884,62.69224785,9.436639532,22.40564878,108.8956805,26.56797686,37.87981468,30.8847559,20.45896975,53.93550766,134.6972349,12.58962327,21.60232652,40.58298915,0.8268073,35.49759341,788.8354092,0.200886798,0,0,9.221807095,0.127493786,0,0,2.318718579,18.20067704,56.05317746,2.636974596,0.504431825,0.164676065,0,0,0.185981157,0,0,0.143313265,9024.143716,36.6431688,1.66976813,21.46438654,0,17.5487189,0.006107195,0,9.628939217,5.303090997,66.08412277,26.01573377,15.58317932,0.370096005,1.644838561,0,3868.633998,27.51172167,21.10884703,12.17808813,0,5.88270348,9.540800182,28.01672561,5.153938032,6.195810197,16.38529829,0,729.4615005,54.1668482,1.02296429,72.53515264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3-6 weeks,B,broiler AST,grower control,107.37,2898.9765,13329.78758,,245.9967095,81.83926619,1607.358103,67.12846792,1101.918767,579.9292327,36.78231733,14.54240281,22.4895535,46.79456493,30.45740548,15.55634014,26.30521217,21.70387202,6.429819136,24.87238607,30.78628973,59.51778491,8.958809122,21.27112411,103.3816765,25.22268999,35.9617455,29.3208861,19.42301644,51.20444798,127.8767524,11.95213947,20.50847859,38.52804297,0.784941372,33.70014957,748.8922127,0.190714764,0,0,8.754854866,0.121038055,0,0,2.201308749,17.27907387,53.21488818,2.503449664,0.47888959,0.156337585,0,0,0.17656388,0,0,0.136056504,8567.200302,34.787718,1.58521833,20.3775233,0,16.66012805,0.005797953,0,9.141371587,5.034565518,62.73791003,24.69841009,14.79411485,0.351355952,1.561551086,0,3672.743187,26.11864766,20.03998677,11.56144268,0,5.584828945,9.05769553,26.5980804,4.892965011,5.882081298,15.555618,0,692.5247407,51.42407444,0.971165824,68.86228778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3-6 weeks,B,broiler AST,grower control,127.65,3446.4609,14226.46841,,292.4542647,97.29496979,1910.914716,79.80597288,1310.020949,689.4514065,43.72881894,17.28879923,26.7368041,55.63192333,36.20941981,18.49422306,31.27306661,25.80274324,7.644118621,29.56964504,36.60041528,70.75797908,10.65071943,25.288269,122.9057586,29.98610538,42.75327854,34.85826376,23.09113811,60.87463209,152.0268368,14.20935332,24.38159454,45.80423252,0.933180986,40.06457031,890.3237848,0.226732082,0,0,10.40824752,0.143896622,0,0,2.617035541,20.54230259,63.26475272,2.97623709,0.569329985,0.185862622,0,0,0.209908741,0,0,0.161751371,10185.15357,41.3575308,1.884593749,24.22590776,0,19.80646615,0.006892922,0,10.86775962,5.985365251,74.58623892,29.36281293,17.58804819,0.417711061,1.856456843,0,4366.356813,31.05126859,23.82462598,13.74487173,0,6.639548334,10.76828097,31.62124429,5.817022869,6.992938095,18.49336454,0,823.311069,61.13573597,1.154574741,81.86723222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3-6 weeks,B,broiler AST,grower 0.5% P-1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3-6 weeks,B,broiler AST,grower 0.5% P-2,108.87,2939.4252,13223.32514,,247.7197648,82.28538722,1621.001582,67.55701513,1112.400041,587.905322,37.20866069,14.69248612,22.60605749,47.43957143,30.95320202,15.81361258,26.72934207,21.82294171,6.486360218,25.18051278,30.94853186,59.76374649,9.015375229,21.37785159,103.8666176,25.33719855,36.15022688,29.45377536,19.80685081,51.7385866,129.2750385,12.04267991,20.68165585,38.85353291,0.792454337,34.02270619,756.0601376,0.191454405,0,0,8.823327431,0.122073817,0,0,2.215004556,17.42925763,53.74891828,2.516326903,0.483199419,0.157739536,0,0,0.177772327,0,0,0.137358752,8610.637543,35.2731024,1.599164886,20.47861676,0,16.80548751,0.00587885,0.029394252,9.209248546,5.063747792,63.20352065,24.84284602,14.89647782,0.353124907,1.568098101,0,3691.153213,26.48257497,20.36854116,11.70564769,0,5.680500927,9.175110062,26.79050916,4.990982321,5.91715111,15.81204998,0,783.1414882,53.34733401,0.974636971,83.48702424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3-6 weeks,B,broiler AST,grower 0.5% P-3,119.39,3223.4112,17340.25421,,271.6526565,90.23520611,1777.611029,74.08388525,1219.872086,644.7044815,40.80349233,16.11196785,24.79009124,52.02283966,33.9436765,17.34140943,29.31173775,23.93131648,7.113025423,27.61327178,33.93855514,65.53768737,9.88637557,23.44322498,113.9014589,27.78509539,39.6428003,32.29938608,21.72044546,56.73719458,141.7646576,13.20615653,22.67976784,42.60728021,0.869015542,37.30973396,829.105199,0.209951344,0,0,9.675773503,0.133867706,0,0,2.429002274,19.11314642,58.94174997,2.759436206,0.529882652,0.172979188,0,0,0.194947403,0,0,0.150629361,9442.535056,38.6809344,1.753664629,22.45711257,0,18.42911215,0.006446822,0.032234112,10.09897952,5.552970474,69.30978762,27.2429821,16.33566775,0.387241281,1.719596396,0,4047.765736,29.0411298,22.33640227,12.8365627,0,6.229309836,10.06154283,29.37881436,5.47317493,6.488823448,17.33969587,0,858.8029538,58.50136753,1.068799345,91.55293661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
