breast,liver,week,concentration,mTOR,s6k1,4e-bp1,murf1,mafbx,ampk
1,0,6,1,0.3864,0.65263,1.45255,1.97747,0.4587,2.628
1,0,6,1,1.10648,1.70729,5.93895,6.71992,1.21699,6.65521
1,0,6,1,0.514,0.70199,2.17287,3.42679,0.59123,2.85943
1,0,6,1,0.28991,0.69164,1.95036,2.61276,0.82051,4.66448
1,0,6,1,0.66834,1.11429,5.02433,8.27137,2.5194,0.59558
1,0,6,1,0.54241,0.854,2.28457,2.19302,0.49772,2.62031
1,0,6,2,0.56895,0.94015,2.87977,3.1927,0.53734,4.7303
1,0,6,2,0.52128,0.78922,2.00217,1.93354,0.42801,2.40257
1,0,6,2,0.52921,0.87586,3.47134,6.10983,1.38576,1.96351
1,0,6,2,1.36253,1.62133,3.86688,4.31248,0.90674,6.03628
1,0,6,2,0.335,0.91771,2.14684,2.43532,0.84503,5.54452
1,0,6,3,0.61361,1.35222,3.00316,0.01306,1.09912,6.25633
1,0,6,3,0.80007,1.1618,2.52191,6.41523,1.37029,3.88095
1,0,6,3,0.25892,0.70117,1.23287,2.34983,0.49354,2.78696
1,0,6,3,0.27919,0.54901,2.02416,1.81036,0.40575,3.22662
1,0,6,3,0.18191,0.5055,1.1176,1.52786,0.33676,3.03463
1,0,6,3,0.30103,0.4235,1.83057,2.0399,0.77468,2.3742
1,0,6,4,0.28893,0.53051,0.29271,1.26178,0.47378,3.17152
1,0,6,4,0.57391,0.87689,4.76761,13.51049,2.95412,5.00848
1,0,6,4,0.27747,0.77229,3.24477,4.28748,1.15597,3.99227
1,0,6,4,0.47629,0.69071,3.04442,1.60295,0.38613,3.54327
1,0,6,4,0.71472,0.82446,3.01902,2.57338,0.92954,5.95567
0,1,6,1,0.63624339,1.923046767,2.719803771,0.436488136,0.280054848,0.811179221
0,1,6,1,0.44838645,2.447180762,3.024800611,0.610644488,0.097034129,0.912966839
0,1,6,1,0.614467344,2.550978108,2.733621377,0.403441327,0.123864008,0.968338834
0,1,6,1,0.798758861,3.844779334,4.005774083,0.388636382,0.114800683,1.066861901
0,1,6,1,0.819025889,3.882627492,3.086124917,0.576011077,0.107564494,0.798988578
0,1,6,1,0.737309847,2.92347033,2.574386008,0.656389923,0.173313358,1.714362212
0,1,6,2,0.671810673,2.728925346,4.411466658,0.637959987,0.127919421,1.353289195
0,1,6,2,0.761701206,2.938427525,3.355162994,0.586078643,0.133664956,1.402530828
0,1,6,2,0.620267663,2.392204917,3.359450687,0.54011366,0.116945241,1.393962665
0,1,6,2,0.683501123,2.526660414,2.234187282,0.474012699,0.097556629,1.002886375
0,1,6,2,0.568566916,2.607923106,2.717821421,0.360941465,0.139866179,1.303643526
