body part,"concentration (0, 0.25, 0.5, 1)","week (0, 1 -> week 3, week 6)",BCA/WEIGHT,MDA/WEIGHT,NEFA/WEIGHT,TC/WEIGHT,TG/WEIGHT
5,0.5,2,101.3574577,0.34,0.306201054,0.423229062,0.688073978
5,0.5,2,105.9066983,0.35,0.434036273,0.489450385,5.553895583
5,0.5,2,118.1476484,0.29,0.431976624,0.564613438,4.242157992
5,0.5,2,61.09272109,0.30,0.686187059,0.65958037,
5,0.5,2,83.37310926,0.26,0.372901479,0.574493846,3.287467087
5,0.5,2,97.53750167,0.36,0.486921161,0.674701223,6.338005832
5,1,2,87.89733709,0.55,0.462719635,0.412359882,3.435065665
5,1,2,118.5206988,0.45,0.743408854,0.695152448,13.76434687
5,1,2,70.26067815,0.41,0.863510532,0.639624877,
5,1,2,105.951177,0.48,0.464723936,0.555747403,4.922761728
5,1,2,86.89611846,0.45,0.321796066,0.493539121,2.391708429
5,1,2,100.3968218,0.39,0.308974779,0.523649686,3.766758633
