pen,time period,Species,Study,Diet,"average 
feed intake, g/d","average feed intake, g","average 
feed intake, g/d",bodyweightgain,akp,alt,glucose,nefa,pip,tc,tg,trap,uric acid,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS,COHESIVENESS,GUMMINESS,RESILIENCE,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS
3,1-3 weeks,broiler chicken,broiler AST,0.5% P-1,59.65,1252.64853,59.65,38.54,,1.222241,16.40023,357.9347,1.273833,56.6889,23.86491,0.160304,158.4,,,,,,,,,,,,,,,,,,,,,,,,,
4,1-3 weeks,broiler chicken,broiler AST,0.5% P-1,70.13,1472.76717,70.13,41.28,,1.152302,16.03941,448.8429,0.9710578,68.2345,,0.2574272,130.8165,,,,,,,,,,,,,,,,,,,,,,,,,
5,1-3 weeks,broiler chicken,broiler AST,0.5% P-1,73.14,1535.90934,73.14,47.66,89.91939,0.6800472,17.76944,480.6844,1.611251,77.54419,35.93797,0.1658446,363.8034,,,,,,,,,,,,,,,,,,,,,,,,,
6,1-3 weeks,broiler chicken,broiler AST,0.5% P-1,66.75,1401.76092,66.75,35.20,69.94838,0.3305785,17.52138,651.4923,1.332033,,26.25393,0.3415137,173.3969,,,,,,,,,,,,,,,,,,,,,,,,,
1,1-3 weeks,broiler chicken,broiler AST,0.08% P-2,71.44,1500.29691,71.44,46.08,127.1549,1.591499,15.50139,,1.528109,73.89465,29.51749,0.3255438,173.6647,,,,,,,,,,,,,,,,,,,,,,,,,
2,1-3 weeks,broiler chicken,broiler AST,0.08% P-2,70.21,1474.34217,70.21,43.53,89.78553,,18.50076,219.0867,1.313326,,29.13354,0.2981668,229.3673,,,,,,,,,,,,,,,,,,,,,,,,,
3,1-3 weeks,broiler chicken,broiler AST,0.08% P-2,76.39,1604.15934,76.39,45.84,89.24725,0.8122786,20.13415,227.1358,1.28769,,37.36712,0.3304325,383.6207,,,,,,,,,,,,,,,,,,,,,,,,,
4,1-3 weeks,broiler chicken,broiler AST,0.08% P-2,62.63,1315.31883,62.63,38.16,92.37401,1.180638,17.14766,250.8098,1.266905,,34.31686,,430.4859,,,,,,,,,,,,,,,,,,,,,,,,,
5,1-3 weeks,broiler chicken,broiler AST,0.08% P-2,58.38,1225.88445,58.38,37.25,,1.034238,17.4956,309.1663,1.123485,55.56813,34.78613,0.3845347,107.7856,,,,,,,,,,,,,,,,,,,,,,,,,
6,1-3 weeks,broiler chicken,broiler AST,0.08% P-2,55.49,1165.24989,55.49,35.66,,0.9334908,21.64511,308.5744,1.402703,65.60999,36.55656,,355.2338,,,,,,,,,,,,,,,,,,,,,,,,,
1,1-3 weeks,broiler chicken,broiler AST,2% P-1,65.07,1366.51557,65.07,43.09,57.70578,1.076741,15.69791,,1.293233,75.85459,22.54242,0.3890975,239.0081,,,,,,,,,,,,,,,,,,,,,,,,,
2,1-3 weeks,broiler chicken,broiler AST,2% P-1,56.45,1185.38448,56.45,37.29,108.0188,1.029516,13.35576,431.5608,1.606401,78.12429,23.84358,0.2923003,148.4914,,,,,,,,,,,,,,,,,,,,,,,,,
