5,1- 6 weeks,broiler chicken,broiler AST,control,176.07,4753.90458
6,1- 6 weeks,broiler chicken,broiler AST,control,198.24,5352.50619
1,1- 6 weeks,broiler chicken,broiler AST,0.5% P-1,60.78,1641.07755
2,1- 6 weeks,broiler chicken,broiler AST,0.5% P-1,168.7,4554.87705
3,1- 6 weeks,broiler chicken,broiler AST,0.5% P-1,179.04,4833.95931
4,1- 6 weeks,broiler chicken,broiler AST,0.5% P-1,193.11,5214.01779
5,1- 6 weeks,broiler chicken,broiler AST,0.5% P-1,208.06,5617.73448
6,1- 6 weeks,broiler chicken,broiler AST,0.5% P-1,172.91,4668.62724
1,1- 6 weeks,broiler chicken,broiler AST,0.08% P-2,189.21,5108.72967
2,1- 6 weeks,broiler chicken,broiler AST,0.08% P-2,173.3,4679.18019
3,1- 6 weeks,broiler chicken,broiler AST,0.08% P-2,76.39,2062.49058
4,1- 6 weeks,broiler chicken,broiler AST,0.08% P-2,176.12,4755.35421
5,1- 6 weeks,broiler chicken,broiler AST,0.08% P-2,171.49,4630.17195
6,1- 6 weeks,broiler chicken,broiler AST,0.08% P-2,157.79,4260.42693
1,1- 6 weeks,broiler chicken,broiler AST,2% P-1,177.66,4796.94879
2,1- 6 weeks,broiler chicken,broiler AST,2% P-1,164.29,4435.75656
3,1- 6 weeks,broiler chicken,broiler AST,2% P-1,175.33,4733.77608
4,1- 6 weeks,broiler chicken,broiler AST,2% P-1,180,4860.12555
5,1- 6 weeks,broiler chicken,broiler AST,2% P-1,190.33,5139.02826
6,1- 6 weeks,broiler chicken,broiler AST,2% P-1,172.82,4666.05063
1,1- 6 weeks,broiler chicken,broiler AST,0.32% P-2,192.33,5192.93106
2,1- 6 weeks,broiler chicken,broiler AST,0.32% P-2,173.99,4697.66547
3,1- 6 weeks,broiler chicken,broiler AST,0.32% P-2,174.11,4700.84688
4,1- 6 weeks,broiler chicken,broiler AST,0.32% P-2,168.02,4536.65286
5,1- 6 weeks,broiler chicken,broiler AST,0.32% P-2,161.33,4355.77635
6,1- 6 weeks,broiler chicken,broiler AST,0.32% P-2,150.71,4069.23534
