breast,thigh,liver,adipose,"concentration (0, 0.25, 0.5, 1)","week (0, 1 -> week 3, week 6)",BCA/WEIGHT,MDA/WEIGHT,NEFA/WEIGHT,TC/WEIGHT,TG/WEIGHT
1,0,0,0,0,1,110.02,0.105,0.390,0.583,8.25
1,0,0,0,0,1,113.06,0.084,0.433,0.560,7.88
1,0,0,0,0,1,127.04,0.115,0.380,0.512,5.67
1,0,0,0,0.25,1,125.63,0.209,0.345,0.472,4.68
1,0,0,0,0.25,1,118.81,0.202,0.610,0.523,9.48
1,0,0,0,0.25,1,90.99,0.231,0.447,0.582,8.11
1,0,0,0,0.25,1,98.72,0.211,0.663,0.641,10.88
1,0,0,0,0.25,1,137.70,0.295,0.436,0.637,6.27
1,0,0,0,0.25,1,136.12,0.250,0.340,0.708,7.75
1,0,0,0,0.5,1,124.29,0.406,0.779,,12.55
1,0,0,0,0.5,1,120.70,0.433,0.443,0.438,9.76
1,0,0,0,0.5,1,112.25,0.228,0.341,0.514,3.25
1,0,0,0,0.5,1,122.53,0.255,0.356,0.497,8.91
1,0,0,0,0.5,1,126.96,0.325,0.408,0.627,9.77
1,0,0,0,0.5,1,148.95,0.334,0.514,0.664,13.67
1,0,0,0,1,1,111.46,0.404,0.694,0.742,13.98
1,0,0,0,1,1,114.17,0.260,0.576,0.661,7.59
1,0,0,0,1,1,105.85,0.464,0.488,0.589,10.77
1,0,0,0,1,1,107.13,0.374,0.306,0.597,5.83
1,0,0,0,1,1,126.85,0.340,0.403,0.530,11.19
1,0,0,0,1,1,111.32,0.438,0.377,0.555,9.87
0,0,1,0,0,1,158.60,2.53,8.54,1.85,
0,0,1,0,0,1,129.16,1.31,5.19,2.05,4.82
0,0,1,0,0,1,117.07,1.36,6.10,1.83,7.01
0,0,1,0,0,1,124.15,1.18,4.34,1.74,5.84
0,0,1,0,0,1,129.94,1.36,4.62,1.78,7.99
0,0,1,0,0,1,128.55,1.21,4.54,2.00,10.31
0,0,1,0,0.25,1,140.14,2.59,5.57,1.68,12.65
0,0,1,0,0.25,1,144.61,1.78,5.40,2.21,10.93
0,0,1,0,0.25,1,118.00,2.42,4.44,1.64,6.78
0,0,1,0,0.25,1,138.56,2.48,8.02,2.37,
0,0,1,0,0.25,1,150.86,2.28,3.10,1.19,2.97
0,0,1,0,0.25,1,149.05,2.20,4.55,1.96,10.79
0,0,1,0,0.5,1,136.54,2.81,6.38,1.87,11.91
0,0,1,0,0.5,1,142.87,2.75,4.07,1.91,7.69
0,0,1,0,0.5,1,149.41,2.67,3.29,1.19,3.84
0,0,1,0,0.5,1,148.43,3.15,6.06,1.87,5.96
0,0,1,0,0.5,1,124.49,2.36,4.39,1.68,3.35
0,0,1,0,0.5,1,142.11,2.24,5.26,1.95,11.95
0,0,1,0,1,1,138.62,3.61,4.13,1.98,11.04
0,0,1,0,1,1,145.56,2.82,4.25,1.90,6.03
0,0,1,0,1,1,123.96,3.30,4.71,1.59,6.42
0,0,1,0,1,1,114.20,2.17,2.53,1.22,4.12
0,0,1,0,1,1,120.98,2.62,3.02,1.26,4.17
0,0,1,0,1,1,121.65,2.22,3.33,1.46,2.67
0,1,0,0,0,1,107.1100152,,0.600799977,0.559013304,9.252686608
0,1,0,0,0,1,114.8542219,0.14,0.544771567,0.609493297,2.623766183
0,1,0,0,0,1,71.94621188,0.10,0.584098784,0.543815441,
0,1,0,0,0,1,91.64528272,0.12,0.414763697,0.51293298,5.797953475
0,1,0,0,0,1,121.1981313,0.10,0.327544752,0.486985581,2.509243963
0,1,0,0,0,1,90.73536928,0.16,0.5608955,0.600159234,
0,1,0,0,0.25,1,99.93095578,0.29,0.351662269,0.459118248,1.490725134
0,1,0,0,0.25,1,69.28032629,,,0.67341381,
0,1,0,0,0.25,1,99.63423018,0.21,0.507650237,0.587015317,3.45050173
0,1,0,0,0.25,1,72.34972316,0.21,0.484558441,0.520755661,4.493898519
0,1,0,0,0.25,1,101.554779,0.23,0.540561647,0.495926141,5.575785885
0,1,0,0,0.25,1,120.6413747,,0.772793182,0.651736691,11.17742116
0,1,0,0,0.5,1,101.3574577,0.34,0.306201054,0.423229062,0.688073978
0,1,0,0,0.5,1,105.9066983,0.35,0.434036273,0.489450385,5.553895583
0,1,0,0,0.5,1,118.1476484,0.29,0.431976624,0.564613438,4.242157992
0,1,0,0,0.5,1,61.09272109,0.30,0.686187059,0.65958037,
0,1,0,0,0.5,1,83.37310926,0.26,0.372901479,0.574493846,3.287467087
0,1,0,0,0.5,1,97.53750167,0.36,0.486921161,0.674701223,6.338005832
0,1,0,0,1,1,87.89733709,0.55,0.462719635,0.412359882,3.435065665
0,1,0,0,1,1,118.5206988,0.45,0.743408854,0.695152448,13.76434687
0,1,0,0,1,1,70.26067815,0.41,0.863510532,0.639624877,
0,1,0,0,1,1,105.951177,0.48,0.464723936,0.555747403,4.922761728
0,1,0,0,1,1,86.89611846,0.45,0.321796066,0.493539121,2.391708429
0,1,0,0,1,1,100.3968218,0.39,0.308974779,0.523649686,3.766758633
